# Puntuación a mano de Claude (0-100) como marca para un producto online de
# mates para niños en España, con el que salir al mercado y gastar en
# publicidad y boca a boca. Criterios: que se diga y se escriba bien al
# oírlo, corto, con emoción positiva, distintivo (registrable: no solo
# descriptivo), que el mensaje sea MATES (no hace falta que sirva para
# otras asignaturas: la asignatura es mates), y sin marcas parecidas
# conocidas. Formato: nombre|score|motivo. Manda sobre la rúbrica.
#
# ---- Los que yo elegiría para salir al mercado ----
Aprende10|86|Se entiende a la primera («aprende y saca un 10»), fácil de decir y escribir, suena a marca de educación (línea Duolingo/Smartick) y no tiene vecinos peligrosos. Le falta decir «mates»: eso lo tendría que poner el eslogan.
Acierta10|85|Acertar es exactamente la sensación del juego, verbo alegre y corto, conecta con exámenes y con juego. No dice mates por sí solo.
Saca10|84|La expresión más española posible («sacar un 10»), cinco letras, imposible de olvidar. Un poco coloquial para padres, y no dice mates.
Practica10|80|Dice lo que hace el producto (práctica diaria) con verbo positivo; cuatro sílabas pero fluido. No dice mates.
Resuelve10|86|Perfecto para mates (resolver problemas) y con carga de logro: de los verbos, el que más dice mates sin nombrarlas. Algo más largo.
Piensa10|78|Corto, elegante, razonar es el fondo de las mates. Muy limpio de marcas; no dice mates.
Juega10|76|Vende diversión, no deberes: buena promesa para el niño; a los padres les puede sonar a menos serio y no dice mates.
Logra10|74|Logro, corto, sin problemas de escritura. No dice mates ni concreta.
Sube10|74|Cinco letras, progreso claro (subir de nivel, subir nota). Muy fácil de decir; no dice mates.
Domina10|74|Ambición y control; suena a marca fuerte. Menos cálido para niños pequeños; no dice mates.
Avanza10|70|Progreso, positivo; genérico y no dice mates.
Eres10|72|Emocional («eres un 10»): el niño es el protagonista. Corto y muy español. No dice mates ni qué es.
Brilla10|70|Emoción positiva y sonido bonito; abstracto y no dice mates.
Crece10|68|Crecimiento, corto y limpio; genérico, podría ser cualquier cosa.
Descubre10|72|Curiosidad, muy educativo; un poco largo.
Gana10|70|Corto y motivador, pero «gana» roza connotación de premios/apuestas y hay muchas marcas «Gana…».
Aprueba10|74|Habla el idioma de los padres (aprobar); algo menos aspiracional que «acierta».
Multiplica10|82|Muy de mates, con doble sentido bonito (multiplica tu nota): dice mates sin nombrarlas. Largo (cinco sílabas).
Razona10|74|Razonar es el fondo de las mates; suena a método serio. Menos juguetón.
Imagina10|66|Creativo y amable, pero se aleja de las mates.
Mision10|68|Aventura y gamificación; la tilde de «misión» se pierde en el dominio, sin problema.
Motiva10|68|Positivo, pero habla del método, no del niño.
Mejora10|68|Claro y positivo; algo plano.
Repasa10|70|Muy escolar y útil (repaso diario); menos aspiracional.
Retos10|66|Gamificación; el plural y el sustantivo lo hacen menos marca que un verbo.
Flipa10|64|Muy pegadizo para críos, pero jerga que envejece y a padres les puede chirriar.
Mola10|62|Igual que Flipa10: pegadizo, coloquial, envejece.
Exito10|64|Promesa clara; la tilde de «éxito» y la x complican escribirlo al oído.
Calculo10|76|Dice la materia, que es lo que quieres; descriptivo (más difícil de registrar) y «cálculo» suena algo a colegio antiguo.
Progresa10|64|Buen mensaje, algo largo y formal.
Comprende10|68|Educativo de verdad, pero largo y menos alegre.
Acelera10|68|Energía y velocidad; menos vínculo con aprender.
Lapiz10|68|Concreto y visual (icono fácil), sin tilde en el dominio; algo infantil-tradicional.
Explica10|66|Bonito para «aprender explicando», menos obvio.
Conecta10|66|Genérico: hay muchas marcas «Conecta».
Analiza10|66|Serio y de mates, pero frío.
Demuestra10|66|De mates (demostrar) y de reto; largo.
Cifras10|72|Muy de números, corto; suena algo a estadística.
Gauss10|70|Elegante, corto y dice mates a los padres; Gauss lo usan decenas de academias (poca distintividad) y no dice nada a un niño de 7 años.
Infinito10|66|Bonito y matemático; cuatro sílabas y algo abstracto.
Logros10|66|Plural y sustantivo: menos marca que Logra10.
Matesgo|70|Corto, dice mates y tiene energía (go); anglicismo, y recuerda a «Pokémon Go».
Estudia10|65|Claro pero suena a obligación, no a juego.
Construye10|64|Buen concepto (construir el conocimiento) pero largo.
Deduce10|64|Inteligente, corto; poco cálido.
Lidera10|64|Ambición; se aleja de las mates.
Matesmax|70|Corto, fácil, dice «mates al máximo»; la x y el anglicismo restan un poco.
Averigua10|63|Curiosidad; largo y con «gu» que hace dudar al escribirlo.
Arranca10|63|Energía de inicio, menos educativo.
Examen10|62|Muy claro para padres, pero «examen» estresa al niño y es descriptivo.
Notable10|62|Contradicción: notable es menos que 10. Suena bien pero confunde.
Observa10|62|Tranquilo, científico; poco pegadizo.
Concentra10|62|Habla de atención, no de mates; largo.
Fractal10|62|Moderno y matemático; los padres no saben qué es un fractal.
Zeta10|62|Corto y sonoro; no dice nada de mates a nadie.
Pitagoras10|62|Reconocible, pero larguísimo y ya lo usan muchas academias; la tilde se pierde.
Algebra10|60|Descriptivo y el álgebra es de secundaria: acota el público.
Rapido10|60|Vende velocidad, no comprensión; sin tilde en el dominio.
Rumboal10|60|Frase simpática («rumbo al 10»), pero tres palabras pegadas se leen mal.
Retodiez|60|«Diez» en letras rompe la marca «10» del resto de la familia.
Redondea10|60|Guiño matemático (redondear la nota); largo.
Dibuja10|60|Geometría y creatividad; se aleja de números.
Soluciona10|60|Claro pero largo; cinco sílabas.
Factorial10|60|Matemático y sonoro; los niños no saben qué es.
Vectormates|60|Ejemplo que te gustó: vector suena moderno, pero es tema de bachillerato.
Avanzamates|60|Progreso + mates, pero once letras.
Matesflash|64|Rápido, visual y dice mates; anglicismo.
Acierto10|60|Sustantivo: mejor Acierta10 (verbo, acción).
Mates7|66|Mates + número: corto, dice mates y tiene gracia; el 7 no significa nada frente a «de 10».
Memoriza10|58|Memorizar va contra el mensaje moderno de «entender».
